,date,teamAway,teamHome,attendance
13698,18/01/2012,Phoenix Suns,New York Knicks,19763
13699,18/01/2012,San Antonio Spurs,Orlando Magic,18846
13700,18/01/2012,Denver Nuggets,Philadelphia 76ers,15201
13701,18/01/2012,Indiana Pacers,Sacramento Kings,14170
13702,18/01/2012,Oklahoma City Thunder,Washington Wizards,15075
13703,17/01/2012,Phoenix Suns,Chicago Bulls,21347
13704,17/01/2012,Golden State Warriors,Cleveland Cavaliers,13056
13705,17/01/2012,Detroit Pistons,Houston Rockets,9318
13706,17/01/2012,San Antonio Spurs,Miami Heat,19600
13707,17/01/2012,Denver Nuggets,Milwaukee Bucks,11322
13708,17/01/2012,Charlotte Bobcats,Orlando Magic,18846
13709,17/01/2012,Los Angeles Clippers,Utah Jazz,19371
13710,16/01/2012,Toronto Raptors,Atlanta Hawks,11050
13711,16/01/2012,Oklahoma City Thunder,Boston Celtics,18624
13712,16/01/2012,Cleveland Cavaliers,Charlotte Bobcats,14988
13713,16/01/2012,New Jersey Nets,Los Angeles Clippers,19060
13714,16/01/2012,Dallas Mavericks,Los Angeles Lakers,18997
13715,16/01/2012,Chicago Bulls,Memphis Grizzlies,18119
13716,16/01/2012,Sacramento Kings,Minnesota Timberwolves,16159
13717,16/01/2012,Portland Trail Blazers,New Orleans Hornets,14758
13718,16/01/2012,Orlando Magic,New York Knicks,19763
13719,16/01/2012,Milwaukee Bucks,Philadelphia 76ers,17281
13720,16/01/2012,Houston Rockets,Washington Wizards,15594
13721,15/01/2012,Utah Jazz,Denver Nuggets,16208
13722,15/01/2012,Golden State Warriors,Detroit Pistons,11774
13723,15/01/2012,Phoenix Suns,San Antonio Spurs,18581
13724,14/01/2012,Minnesota Timberwolves,Atlanta Hawks,13135
13725,14/01/2012,Golden State Warriors,Charlotte Bobcats,16122
13726,14/01/2012,Toronto Raptors,Chicago Bulls,21962
13727,14/01/2012,Sacramento Kings,Dallas Mavericks,20313
13728,14/01/2012,Portland Trail Blazers,Houston Rockets,11676
13729,14/01/2012,Boston Celtics,Indiana Pacers,14203
13730,14/01/2012,Los Angeles Lakers,Los Angeles Clippers,19895
13731,14/01/2012,New Orleans Hornets,Memphis Grizzlies,14983
13732,14/01/2012,New York Knicks,Oklahoma City Thunder,18203
13733,14/01/2012,New Jersey Nets,Utah Jazz,19557
13734,14/01/2012,Philadelphia 76ers,Washington Wizards,13998
13735,13/01/2012,Chicago Bulls,Boston Celtics,18624
13736,13/01/2012,Detroit Pistons,Charlotte Bobcats,18043
13737,13/01/2012,Milwaukee Bucks,Dallas Mavericks,20112
13738,13/01/2012,Miami Heat,Denver Nuggets,19155
13739,13/01/2012,Sacramento Kings,Houston Rockets,12870
13740,13/01/2012,Cleveland Cavaliers,Los Angeles Lakers,18997
13741,13/01/2012,Minnesota Timberwolves,New Orleans Hornets,14295
13742,13/01/2012,Washington Wizards,Philadelphia 76ers,14213
13743,13/01/2012,New Jersey Nets,Phoenix Suns,15191
13744,13/01/2012,Portland Trail Blazers,San Antonio Spurs,18581
13745,13/01/2012,Indiana Pacers,Toronto Raptors,15302
13746,12/01/2012,Charlotte Bobcats,Atlanta Hawks,10597
13747,12/01/2012,Orlando Magic,Golden State Warriors,17754
13748,12/01/2012,New York Knicks,Memphis Grizzlies,15324
13749,12/01/2012,Detroit Pistons,Milwaukee Bucks,11465
13750,12/01/2012,Cleveland Cavaliers,Phoenix Suns,14636
13751,11/01/2012,Dallas Mavericks,Boston Celtics,18624
13752,11/01/2012,Washington Wizards,Chicago Bulls,21366
13753,11/01/2012,New Jersey Nets,Denver Nuggets,14139
13754,11/01/2012,Atlanta Hawks,Indiana Pacers,10334
13755,11/01/2012,Miami Heat,Los Angeles Clippers,19341
13756,11/01/2012,Oklahoma City Thunder,New Orleans Hornets,13565
13757,11/01/2012,Philadelphia 76ers,New York Knicks,19763
13758,11/01/2012,Orlando Magic,Portland Trail Blazers,20467
13759,11/01/2012,Houston Rockets,San Antonio Spurs,17381
13760,11/01/2012,Sacramento Kings,Toronto Raptors,14323
13761,11/01/2012,Los Angeles Lakers,Utah Jazz,19642
13762,10/01/2012,Houston Rockets,Charlotte Bobcats,13421
13763,10/01/2012,Dallas Mavericks,Detroit Pistons,10073
13764,10/01/2012,Miami Heat,Golden State Warriors,19596
13765,10/01/2012,Phoenix Suns,Los Angeles Lakers,18997
13766,10/01/2012,Oklahoma City Thunder,Memphis Grizzlies,13601
13767,10/01/2012,San Antonio Spurs,Milwaukee Bucks,11585
13768,10/01/2012,Chicago Bulls,Minnesota Timberwolves,19356
13769,10/01/2012,Sacramento Kings,Philadelphia 76ers,10255
13770,10/01/2012,Los Angeles Clippers,Portland Trail Blazers,20381
13771,10/01/2012,Cleveland Cavaliers,Utah Jazz,17859
13772,10/01/2012,Toronto Raptors,Washington Wizards,14077
13773,09/01/2012,Detroit Pistons,Chicago Bulls,21530
13774,09/01/2012,New Orleans Hornets,Denver Nuggets,14002
13775,09/01/2012,Atlanta Hawks,New Jersey Nets,12259
13776,09/01/2012,Charlotte Bobcats,New York Knicks,19763
13777,09/01/2012,Indiana Pacers,Philadelphia 76ers,8612
13778,09/01/2012,Minnesota Timberwolves,Toronto Raptors,14097
13779,08/01/2012,Memphis Grizzlies,Los Angeles Lakers,18997
13780,08/01/2012,San Antonio Spurs,Oklahoma City Thunder,18203
13781,08/01/2012,Milwaukee Bucks,Phoenix Suns,13420
13782,08/01/2012,Cleveland Cavaliers,Portland Trail Blazers,20292
13783,08/01/2012,Orlando Magic,Sacramento Kings,14150
13784,08/01/2012,Minnesota Timberwolves,Washington Wizards,13095
13785,07/01/2012,Chicago Bulls,Atlanta Hawks,17112
13786,07/01/2012,New Orleans Hornets,Dallas Mavericks,20409
13787,07/01/2012,New York Knicks,Detroit Pistons,12044
13788,07/01/2012,Utah Jazz,Golden State Warriors,19596
13789,07/01/2012,Oklahoma City Thunder,Houston Rockets,14327
13790,07/01/2012,Charlotte Bobcats,Indiana Pacers,17226
13791,07/01/2012,Milwaukee Bucks,Los Angeles Clippers,19229
13792,07/01/2012,Miami Heat,New Jersey Nets,18711
13793,07/01/2012,Toronto Raptors,Philadelphia 76ers,14522
13794,07/01/2012,Denver Nuggets,San Antonio Spurs,17537
13795,06/01/2012,Indiana Pacers,Boston Celtics,18624
13796,06/01/2012,Atlanta Hawks,Charlotte Bobcats,17827
13797,06/01/2012,Golden State Warriors,Los Angeles Lakers,18997
13798,06/01/2012,Cleveland Cavaliers,Minnesota Timberwolves,16943
13799,06/01/2012,Denver Nuggets,New Orleans Hornets,13035
13800,06/01/2012,Houston Rockets,Oklahoma City Thunder,18203
13801,06/01/2012,Chicago Bulls,Orlando Magic,18912
13802,06/01/2012,Detroit Pistons,Philadelphia 76ers,19408
13803,06/01/2012,Portland Trail Blazers,Phoenix Suns,16235
13804,06/01/2012,New Jersey Nets,Toronto Raptors,16771
13805,06/01/2012,Memphis Grizzlies,Utah Jazz,19503
13806,06/01/2012,New York Knicks,Washington Wizards,16998
13807,05/01/2012,Miami Heat,Atlanta Hawks,18371
13808,05/01/2012,Los Angeles Lakers,Portland Trail Blazers,20444
13809,05/01/2012,Milwaukee Bucks,Sacramento Kings,11813
13810,05/01/2012,Dallas Mavericks,San Antonio Spurs,18581
13811,04/01/2012,New Jersey Nets,Boston Celtics,18624
13812,04/01/2012,Phoenix Suns,Dallas Mavericks,19885
13813,04/01/2012,Sacramento Kings,Denver Nuggets,14562
13814,04/01/2012,Chicago Bulls,Detroit Pistons,9125
13815,04/01/2012,Houston Rockets,Los Angeles Clippers,19060
13816,04/01/2012,Indiana Pacers,Miami Heat,20201
13817,04/01/2012,Memphis Grizzlies,Minnesota Timberwolves,17404
13818,04/01/2012,Philadelphia 76ers,New Orleans Hornets,12387
13819,04/01/2012,Charlotte Bobcats,New York Knicks,19763
13820,04/01/2012,Washington Wizards,Orlando Magic,18846
13821,04/01/2012,Golden State Warriors,San Antonio Spurs,16751
13822,04/01/2012,Cleveland Cavaliers,Toronto Raptors,14468
13823,03/01/2012,Atlanta Hawks,Chicago Bulls,22166
13824,03/01/2012,Charlotte Bobcats,Cleveland Cavaliers,14173
13825,03/01/2012,Houston Rockets,Los Angeles Lakers,18997
13826,03/01/2012,Sacramento Kings,Memphis Grizzlies,12391
13827,03/01/2012,Portland Trail Blazers,Oklahoma City Thunder,18203
13828,03/01/2012,Milwaukee Bucks,Utah Jazz,17756
13829,02/01/2012,Washington Wizards,Boston Celtics,18624
13830,02/01/2012,Oklahoma City Thunder,Dallas Mavericks,20108
13831,02/01/2012,Milwaukee Bucks,Denver Nuggets,14142
13832,02/01/2012,Orlando Magic,Detroit Pistons,8120
13833,02/01/2012,Atlanta Hawks,Miami Heat,20078
13834,02/01/2012,San Antonio Spurs,Minnesota Timberwolves,14514
13835,02/01/2012,Indiana Pacers,New Jersey Nets,12519
13836,02/01/2012,Toronto Raptors,New York Knicks,19763
13837,02/01/2012,Golden State Warriors,Phoenix Suns,14793
13838,02/01/2012,New Orleans Hornets,Utah Jazz,19159
13839,01/01/2012,Memphis Grizzlies,Chicago Bulls,22763
13840,01/01/2012,New Jersey Nets,Cleveland Cavaliers,15084
13841,01/01/2012,Los Angeles Lakers,Denver Nuggets,19155
13842,01/01/2012,Portland Trail Blazers,Los Angeles Clippers,19060
13843,01/01/2012,Charlotte Bobcats,Miami Heat,20016
13844,01/01/2012,Dallas Mavericks,Minnesota Timberwolves,15115
13845,01/01/2012,Toronto Raptors,Orlando Magic,18846
13846,01/01/2012,New Orleans Hornets,Sacramento Kings,13628
13847,01/01/2012,Boston Celtics,Washington Wizards,17458
13848,31/12/2011,Indiana Pacers,Detroit Pistons,8824
13849,31/12/2011,Philadelphia 76ers,Golden State Warriors,19084
13850,31/12/2011,Atlanta Hawks,Houston Rockets,14390
13851,31/12/2011,Denver Nuggets,Los Angeles Lakers,18997
13852,31/12/2011,Phoenix Suns,Oklahoma City Thunder,18203
13853,31/12/2011,New York Knicks,Sacramento Kings,16175
13854,31/12/2011,Utah Jazz,San Antonio Spurs,17769
13855,30/12/2011,New Jersey Nets,Atlanta Hawks,16300
13856,30/12/2011,Detroit Pistons,Boston Celtics,18624
13857,30/12/2011,Orlando Magic,Charlotte Bobcats,18064
13858,30/12/2011,Toronto Raptors,Dallas Mavericks,20307
13859,30/12/2011,Cleveland Cavaliers,Indiana Pacers,13004
13860,30/12/2011,Chicago Bulls,Los Angeles Clippers,19426
13861,30/12/2011,Houston Rockets,Memphis Grizzlies,16069
13862,30/12/2011,Washington Wizards,Milwaukee Bucks,17065
13863,30/12/2011,Miami Heat,Minnesota Timberwolves,19356
13864,30/12/2011,Phoenix Suns,New Orleans Hornets,15790
13865,30/12/2011,Philadelphia 76ers,Utah Jazz,19911
13866,29/12/2011,San Antonio Spurs,Houston Rockets,18267
13867,29/12/2011,New York Knicks,Los Angeles Lakers,18997
13868,29/12/2011,Dallas Mavericks,Oklahoma City Thunder,18203
13869,29/12/2011,New Jersey Nets,Orlando Magic,18954
13870,29/12/2011,Denver Nuggets,Portland Trail Blazers,20531
13871,29/12/2011,Chicago Bulls,Sacramento Kings,17317
13872,28/12/2011,Washington Wizards,Atlanta Hawks,17750
13873,28/12/2011,Miami Heat,Charlotte Bobcats,19614
13874,28/12/2011,Utah Jazz,Denver Nuggets,19155
13875,28/12/2011,Cleveland Cavaliers,Detroit Pistons,22076
13876,28/12/2011,New York Knicks,Golden State Warriors,19596
13877,28/12/2011,Oklahoma City Thunder,Memphis Grizzlies,18119
13878,28/12/2011,Boston Celtics,New Orleans Hornets,17802
13879,28/12/2011,Philadelphia 76ers,Phoenix Suns,16360
13880,28/12/2011,Los Angeles Clippers,San Antonio Spurs,18581
13881,28/12/2011,Indiana Pacers,Toronto Raptors,19800
13882,27/12/2011,Utah Jazz,Los Angeles Lakers,18997
13883,27/12/2011,Boston Celtics,Miami Heat,20166
13884,27/12/2011,Minnesota Timberwolves,Milwaukee Bucks,17352
13885,27/12/2011,Atlanta Hawks,New Jersey Nets,18711
13886,27/12/2011,Sacramento Kings,Portland Trail Blazers,20350
13887,26/12/2011,Milwaukee Bucks,Charlotte Bobcats,17173
13888,26/12/2011,Toronto Raptors,Cleveland Cavaliers,20562
13889,26/12/2011,Denver Nuggets,Dallas Mavericks,20408
13890,26/12/2011,Chicago Bulls,Golden State Warriors,19596
13891,26/12/2011,Detroit Pistons,Indiana Pacers,18165
13892,26/12/2011,Oklahoma City Thunder,Minnesota Timberwolves,19406
13893,26/12/2011,Houston Rockets,Orlando Magic,18846
13894,26/12/2011,New Orleans Hornets,Phoenix Suns,17776
13895,26/12/2011,Philadelphia 76ers,Portland Trail Blazers,20509
13896,26/12/2011,Los Angeles Lakers,Sacramento Kings,17317
13897,26/12/2011,Memphis Grizzlies,San Antonio Spurs,18581
13898,26/12/2011,New Jersey Nets,Washington Wizards,17102
13899,25/12/2011,Miami Heat,Dallas Mavericks,20421
13900,25/12/2011,Los Angeles Clippers,Golden State Warriors,19596
13901,25/12/2011,Chicago Bulls,Los Angeles Lakers,18997
13902,25/12/2011,Boston Celtics,New York Knicks,19763
13903,25/12/2011,Orlando Magic,Oklahoma City Thunder,18203
13904,12/06/2011,Dallas Mavericks,Miami Heat,20003
13905,09/06/2011,Miami Heat,Dallas Mavericks,20433
13906,07/06/2011,Miami Heat,Dallas Mavericks,20430
13907,05/06/2011,Miami Heat,Dallas Mavericks,20340
13908,02/06/2011,Dallas Mavericks,Miami Heat,20003
13909,31/05/2011,Dallas Mavericks,Miami Heat,20003
13910,26/05/2011,Miami Heat,Chicago Bulls,23057
13911,25/05/2011,Oklahoma City Thunder,Dallas Mavericks,21092
13912,24/05/2011,Chicago Bulls,Miami Heat,20125
13913,23/05/2011,Dallas Mavericks,Oklahoma City Thunder,18203
13914,22/05/2011,Chicago Bulls,Miami Heat,20123
13915,21/05/2011,Dallas Mavericks,Oklahoma City Thunder,18203
13916,19/05/2011,Oklahoma City Thunder,Dallas Mavericks,21051
13917,18/05/2011,Miami Heat,Chicago Bulls,23007
13918,17/05/2011,Oklahoma City Thunder,Dallas Mavericks,20911
13919,15/05/2011,Miami Heat,Chicago Bulls,22874
13920,15/05/2011,Memphis Grizzlies,Oklahoma City Thunder,18203
13921,13/05/2011,Oklahoma City Thunder,Memphis Grizzlies,18119
13922,12/05/2011,Chicago Bulls,Atlanta Hawks,19378
13923,11/05/2011,Boston Celtics,Miami Heat,20208
13924,11/05/2011,Memphis Grizzlies,Oklahoma City Thunder,18203
13925,10/05/2011,Atlanta Hawks,Chicago Bulls,22980
13926,09/05/2011,Miami Heat,Boston Celtics,18624
13927,09/05/2011,Oklahoma City Thunder,Memphis Grizzlies,18119
13928,08/05/2011,Chicago Bulls,Atlanta Hawks,19263
13929,08/05/2011,Los Angeles Lakers,Dallas Mavericks,21087
13930,07/05/2011,Miami Heat,Boston Celtics,18624
13931,07/05/2011,Oklahoma City Thunder,Memphis Grizzlies,18119
13932,06/05/2011,Chicago Bulls,Atlanta Hawks,19521
13933,06/05/2011,Los Angeles Lakers,Dallas Mavericks,21156
13934,04/05/2011,Atlanta Hawks,Chicago Bulls,22872
13935,04/05/2011,Dallas Mavericks,Los Angeles Lakers,18997
13936,03/05/2011,Boston Celtics,Miami Heat,20104
13937,03/05/2011,Memphis Grizzlies,Oklahoma City Thunder,18203
13938,02/05/2011,Atlanta Hawks,Chicago Bulls,22890
13939,02/05/2011,Dallas Mavericks,Los Angeles Lakers,18997
13940,01/05/2011,Boston Celtics,Miami Heat,20021
13941,01/05/2011,Memphis Grizzlies,Oklahoma City Thunder,18203
13942,29/04/2011,San Antonio Spurs,Memphis Grizzlies,18119
13943,28/04/2011,Orlando Magic,Atlanta Hawks,19282
13944,28/04/2011,Los Angeles Lakers,New Orleans Hornets,17949
13945,28/04/2011,Dallas Mavericks,Portland Trail Blazers,20494
13946,27/04/2011,Philadelphia 76ers,Miami Heat,19896
13947,27/04/2011,Denver Nuggets,Oklahoma City Thunder,18203
13948,27/04/2011,Memphis Grizzlies,San Antonio Spurs,18581
13949,26/04/2011,Indiana Pacers,Chicago Bulls,22822
13950,26/04/2011,New Orleans Hornets,Los Angeles Lakers,18997
13951,26/04/2011,Atlanta Hawks,Orlando Magic,19091
13952,25/04/2011,Portland Trail Blazers,Dallas Mavericks,20837
13953,25/04/2011,Oklahoma City Thunder,Denver Nuggets,19155
13954,25/04/2011,San Antonio Spurs,Memphis Grizzlies,18119
13955,24/04/2011,Orlando Magic,Atlanta Hawks,19490
13956,24/04/2011,Los Angeles Lakers,New Orleans Hornets,18083
13957,24/04/2011,Boston Celtics,New York Knicks,19763
13958,24/04/2011,Miami Heat,Philadelphia 76ers,19048
13959,23/04/2011,Oklahoma City Thunder,Denver Nuggets,19958
13960,23/04/2011,Chicago Bulls,Indiana Pacers,18165
13961,23/04/2011,San Antonio Spurs,Memphis Grizzlies,18119
13962,23/04/2011,Dallas Mavericks,Portland Trail Blazers,20357
13963,22/04/2011,Orlando Magic,Atlanta Hawks,19865
13964,22/04/2011,Los Angeles Lakers,New Orleans Hornets,18340
13965,22/04/2011,Boston Celtics,New York Knicks,19763
13966,21/04/2011,Chicago Bulls,Indiana Pacers,18165
13967,21/04/2011,Miami Heat,Philadelphia 76ers,20404
13968,21/04/2011,Dallas Mavericks,Portland Trail Blazers,20217
13969,20/04/2011,New Orleans Hornets,Los Angeles Lakers,18997
13970,20/04/2011,Denver Nuggets,Oklahoma City Thunder,18203
13971,20/04/2011,Memphis Grizzlies,San Antonio Spurs,18760
13972,19/04/2011,New York Knicks,Boston Celtics,18624
13973,19/04/2011,Portland Trail Blazers,Dallas Mavericks,20620
13974,19/04/2011,Atlanta Hawks,Orlando Magic,19160
13975,18/04/2011,Indiana Pacers,Chicago Bulls,22480
13976,18/04/2011,Philadelphia 76ers,Miami Heat,20204
13977,17/04/2011,New York Knicks,Boston Celtics,18624
13978,17/04/2011,New Orleans Hornets,Los Angeles Lakers,18997
13979,17/04/2011,Denver Nuggets,Oklahoma City Thunder,18203
13980,17/04/2011,Memphis Grizzlies,San Antonio Spurs,18581
13981,16/04/2011,Indiana Pacers,Chicago Bulls,22986
13982,16/04/2011,Portland Trail Blazers,Dallas Mavericks,20541
13983,16/04/2011,Philadelphia 76ers,Miami Heat,19600
13984,16/04/2011,Atlanta Hawks,Orlando Magic,19108
13985,13/04/2011,New York Knicks,Boston Celtics,18624
13986,13/04/2011,Atlanta Hawks,Charlotte Bobcats,16138
13987,13/04/2011,New Jersey Nets,Chicago Bulls,22420
13988,13/04/2011,Washington Wizards,Cleveland Cavaliers,20562
13989,13/04/2011,New Orleans Hornets,Dallas Mavericks,20366
13990,13/04/2011,Portland Trail Blazers,Golden State Warriors,19596
13991,13/04/2011,Memphis Grizzlies,Los Angeles Clippers,19060
13992,13/04/2011,Houston Rockets,Minnesota Timberwolves,17101
13993,13/04/2011,Milwaukee Bucks,Oklahoma City Thunder,18203
13994,13/04/2011,Indiana Pacers,Orlando Magic,19169
13995,13/04/2011,Detroit Pistons,Philadelphia 76ers,13760
13996,13/04/2011,San Antonio Spurs,Phoenix Suns,18195
13997,13/04/2011,Los Angeles Lakers,Sacramento Kings,17641
13998,13/04/2011,Miami Heat,Toronto Raptors,20108
13999,13/04/2011,Denver Nuggets,Utah Jazz,19051
14000,12/04/2011,San Antonio Spurs,Los Angeles Lakers,18997
14001,12/04/2011,Chicago Bulls,New York Knicks,19763
14002,12/04/2011,Memphis Grizzlies,Portland Trail Blazers,20662
14003,11/04/2011,Miami Heat,Atlanta Hawks,18529
14004,11/04/2011,Golden State Warriors,Denver Nuggets,19155
14005,11/04/2011,Cleveland Cavaliers,Detroit Pistons,15589
14006,11/04/2011,Dallas Mavericks,Houston Rockets,14898
14007,11/04/2011,Toronto Raptors,Milwaukee Bucks,13279
14008,11/04/2011,Charlotte Bobcats,New Jersey Nets,13853
14009,11/04/2011,Utah Jazz,New Orleans Hornets,12558
14010,11/04/2011,Orlando Magic,Philadelphia 76ers,19139
14011,11/04/2011,Minnesota Timberwolves,Phoenix Suns,17485
14012,11/04/2011,Oklahoma City Thunder,Sacramento Kings,15683
14013,11/04/2011,Boston Celtics,Washington Wizards,17787
14014,10/04/2011,Detroit Pistons,Charlotte Bobcats,16234
14015,10/04/2011,Phoenix Suns,Dallas Mavericks,20355
14016,10/04/2011,Sacramento Kings,Golden State Warriors,19596
14017,10/04/2011,New York Knicks,Indiana Pacers,13542
14018,10/04/2011,Oklahoma City Thunder,Los Angeles Lakers,18997
14019,10/04/2011,New Orleans Hornets,Memphis Grizzlies,17041
14020,10/04/2011,Boston Celtics,Miami Heat,19766
14021,10/04/2011,Chicago Bulls,Orlando Magic,19181
14022,10/04/2011,New Jersey Nets,Toronto Raptors,17755
14023,09/04/2011,Minnesota Timberwolves,Denver Nuggets,19155
14024,09/04/2011,Los Angeles Clippers,Houston Rockets,18089
14025,09/04/2011,Cleveland Cavaliers,Milwaukee Bucks,18717
14026,09/04/2011,Utah Jazz,San Antonio Spurs,18802
14027,09/04/2011,Atlanta Hawks,Washington Wizards,19771
14028,08/04/2011,Washington Wizards,Boston Celtics,18624
14029,08/04/2011,Chicago Bulls,Cleveland Cavaliers,20562
14030,08/04/2011,Los Angeles Clippers,Dallas Mavericks,20382
14031,08/04/2011,Milwaukee Bucks,Detroit Pistons,16266
14032,08/04/2011,Atlanta Hawks,Indiana Pacers,15879
14033,08/04/2011,Sacramento Kings,Memphis Grizzlies,16517
14034,08/04/2011,Charlotte Bobcats,Miami Heat,19897
14035,08/04/2011,New York Knicks,New Jersey Nets,18023
14036,08/04/2011,Phoenix Suns,New Orleans Hornets,14950
14037,08/04/2011,Denver Nuggets,Oklahoma City Thunder,18203
14038,08/04/2011,Toronto Raptors,Philadelphia 76ers,16362
14039,08/04/2011,Los Angeles Lakers,Portland Trail Blazers,20697
14040,07/04/2011,Boston Celtics,Chicago Bulls,23067
14041,07/04/2011,Portland Trail Blazers,Utah Jazz,18831
14042,06/04/2011,Orlando Magic,Charlotte Bobcats,16234
14043,06/04/2011,Denver Nuggets,Dallas Mavericks,20364
14044,06/04/2011,New Jersey Nets,Detroit Pistons,14554
14045,06/04/2011,Los Angeles Lakers,Golden State Warriors,20024
14046,06/04/2011,Washington Wizards,Indiana Pacers,14222
14047,06/04/2011,Milwaukee Bucks,Miami Heat,20017
14048,06/04/2011,Phoenix Suns,Minnesota Timberwolves,16113
14049,06/04/2011,Houston Rockets,New Orleans Hornets,12728
14050,06/04/2011,Los Angeles Clippers,Oklahoma City Thunder,18203
14051,06/04/2011,New York Knicks,Philadelphia 76ers,18375
14052,06/04/2011,Sacramento Kings,San Antonio Spurs,18590
14053,06/04/2011,Cleveland Cavaliers,Toronto Raptors,14886
14054,05/04/2011,San Antonio Spurs,Atlanta Hawks,17277
14055,05/04/2011,Philadelphia 76ers,Boston Celtics,18624
14056,05/04/2011,Phoenix Suns,Chicago Bulls,21873
14057,05/04/2011,Charlotte Bobcats,Cleveland Cavaliers,19835
14058,05/04/2011,Oklahoma City Thunder,Denver Nuggets,18203
14059,05/04/2011,Sacramento Kings,Houston Rockets,15523
14060,05/04/2011,Utah Jazz,Los Angeles Lakers,18997
14061,05/04/2011,Los Angeles Clippers,Memphis Grizzlies,15433
14062,05/04/2011,Minnesota Timberwolves,New Jersey Nets,13461
14063,05/04/2011,Toronto Raptors,New York Knicks,19763
14064,05/04/2011,Milwaukee Bucks,Orlando Magic,18996
14065,05/04/2011,Golden State Warriors,Portland Trail Blazers,20551
14066,05/04/2011,Detroit Pistons,Washington Wizards,18131
14067,03/04/2011,Detroit Pistons,Boston Celtics,18624
14068,03/04/2011,Washington Wizards,Charlotte Bobcats,16444
14069,03/04/2011,Atlanta Hawks,Houston Rockets,15993
14070,03/04/2011,Denver Nuggets,Los Angeles Lakers,18997
14071,03/04/2011,Miami Heat,New Jersey Nets,18711
14072,03/04/2011,Indiana Pacers,New Orleans Hornets,13898
14073,03/04/2011,Cleveland Cavaliers,New York Knicks,19763
14074,03/04/2011,Dallas Mavericks,Portland Trail Blazers,20534
14075,03/04/2011,Utah Jazz,Sacramento Kings,17215
14076,03/04/2011,Phoenix Suns,San Antonio Spurs,18581
14077,03/04/2011,Orlando Magic,Toronto Raptors,19800
14078,02/04/2011,Toronto Raptors,Chicago Bulls,22228
14079,02/04/2011,Dallas Mavericks,Golden State Warriors,18128
14080,02/04/2011,Oklahoma City Thunder,Los Angeles Clippers,19060
14081,02/04/2011,Minnesota Timberwolves,Memphis Grizzlies,15327
14082,02/04/2011,Philadelphia 76ers,Milwaukee Bucks,17079
14083,01/04/2011,Boston Celtics,Atlanta Hawks,19763
14084,01/04/2011,Chicago Bulls,Detroit Pistons,22076
14085,01/04/2011,San Antonio Spurs,Houston Rockets,18059
14086,01/04/2011,Milwaukee Bucks,Indiana Pacers,11177
14087,01/04/2011,Miami Heat,Minnesota Timberwolves,19096
14088,01/04/2011,Memphis Grizzlies,New Orleans Hornets,16561
14089,01/04/2011,Charlotte Bobcats,Orlando Magic,18969
14090,01/04/2011,New Jersey Nets,Philadelphia 76ers,16695
14091,01/04/2011,Los Angeles Clippers,Phoenix Suns,18422
14092,01/04/2011,Oklahoma City Thunder,Portland Trail Blazers,20709
14093,01/04/2011,Denver Nuggets,Sacramento Kings,15871
14094,01/04/2011,Los Angeles Lakers,Utah Jazz,19911
14095,01/04/2011,Cleveland Cavaliers,Washington Wizards,17427
14096,31/03/2011,Dallas Mavericks,Los Angeles Lakers,18997
14097,31/03/2011,Boston Celtics,San Antonio Spurs,18583
14098,30/03/2011,Orlando Magic,Atlanta Hawks,15114
14099,30/03/2011,Cleveland Cavaliers,Charlotte Bobcats,12584
14100,30/03/2011,Sacramento Kings,Denver Nuggets,17955
14101,30/03/2011,Detroit Pistons,Indiana Pacers,9390
14102,30/03/2011,Dallas Mavericks,Los Angeles Clippers,19060
14103,30/03/2011,Golden State Warriors,Memphis Grizzlies,13815
14104,30/03/2011,Chicago Bulls,Minnesota Timberwolves,19207
14105,30/03/2011,Portland Trail Blazers,New Orleans Hornets,12575
14106,30/03/2011,New Jersey Nets,New York Knicks,19763
14107,30/03/2011,Houston Rockets,Philadelphia 76ers,16635
14108,30/03/2011,Oklahoma City Thunder,Phoenix Suns,18033
14109,30/03/2011,Milwaukee Bucks,Toronto Raptors,15906
14110,30/03/2011,Miami Heat,Washington Wizards,18916
14111,29/03/2011,Miami Heat,Cleveland Cavaliers,20562
14112,29/03/2011,Houston Rockets,New Jersey Nets,13866
14113,29/03/2011,Golden State Warriors,Oklahoma City Thunder,18203
14114,29/03/2011,Phoenix Suns,Sacramento Kings,13774
14115,28/03/2011,Milwaukee Bucks,Charlotte Bobcats,12368
14116,28/03/2011,Philadelphia 76ers,Chicago Bulls,22210
14117,28/03/2011,Boston Celtics,Indiana Pacers,15932
14118,28/03/2011,Orlando Magic,New York Knicks,19763
14119,28/03/2011,Portland Trail Blazers,San Antonio Spurs,18583
14120,28/03/2011,Washington Wizards,Utah Jazz,19724
14121,27/03/2011,Atlanta Hawks,Cleveland Cavaliers,20226
14122,27/03/2011,Washington Wizards,Golden State Warriors,17723
14123,27/03/2011,New Orleans Hornets,Los Angeles Lakers,18997
14124,27/03/2011,San Antonio Spurs,Memphis Grizzlies,17098
14125,27/03/2011,Houston Rockets,Miami Heat,19825
14126,27/03/2011,Boston Celtics,Minnesota Timberwolves,19178
14127,27/03/2011,Portland Trail Blazers,Oklahoma City Thunder,18203
14128,27/03/2011,Sacramento Kings,Philadelphia 76ers,16235
14129,27/03/2011,Dallas Mavericks,Phoenix Suns,17314
14130,26/03/2011,New Jersey Nets,Atlanta Hawks,17093
14131,26/03/2011,New York Knicks,Charlotte Bobcats,19356
